,prices,address,no_beds,baths,sqft,prices_scale,sqft_scale,predict,difference
54,750000.0, 12221 Palisades Pkwy Austin TX 78732 ,3,3.0,1886.0,7.5,1.886,480598.5450744629,269401.4549255371
371,975000.0, 1516 Northwood Rd Austin TX 78703 ,3,2.0,1291.0,9.75,1.291,702284.4314575195,272715.56854248047
122,699900.0, 2103 Fortview Rd Austin TX 78704 ,2,2.0,1051.0,6.999,1.051,426227.7126312256,273672.2873687744
123,429999.0, 12509 Limerick Ave Austin TX 78727 ,3,2.0,1065.0,4.29999,1.065,704028.1295776367,274029.1295776367
97,802500.0, 12017 Portobella Dr Austin TX 78732 ,4,4.0,3571.0,8.025,3.571,528411.1976623535,274088.8023376465
197,700000.0, 7905 Crandall Rd Austin TX 78739 ,2,2.0,1272.0,7.0,1.272,424522.59063720703,275477.40936279297
320,414990.0, Rosemont II Plan Parker Station ,3,2.0,2640.0,4.1499,2.64,691876.2683868408,276886.2683868408
355,425000.0, 7825 Beauregard Cir APT 18A Austin TX 78745 ,3,2.0,1314.0,4.25,1.314,702107.0003509521,277107.00035095215
254,647000.0, 11411 Arbor Downs Rd Austin TX 78748 ,1,1.0,484.0,6.47,0.484,369789.12353515625,277210.87646484375
205,415000.0, 4409 Destinys Gate Dr Austin TX 78727 ,3,2.0,2339.0,4.15,2.339,694198.6083984375,279198.6083984375
50,303990.0, The Midland Plan Forest Bluff ,5,5.0,4198.0,3.0399,4.198,584386.8255615234,280396.82556152344
306,145000.0, 12166 Metric Blvd APT 137 Austin TX 78758 ,2,2.0,1059.0,1.45,1.059,426165.9622192383,281165.9622192383
356,249000.0, 2967 E 51st St Austin TX 78723 ,4,4.0,3056.0,2.49,3.056,532384.6817016602,283384.68170166016
138,525000.0, 9301 Silk Oak Cv Austin TX 78748 ,5,4.0,3302.0,5.25,3.302,808395.1950073242,283395.1950073242
361,415000.0, 1212 Guadalupe St APT 705 Austin TX 78701 ,3,2.0,1291.0,4.15,1.291,702284.4314575195,287284.43145751953
287,140000.0, 1840 Burton Dr APT 215 Austin TX 78741 ,2,2.0,834.0,1.4,0.834,427901.9355773926,287901.9355773926
337,240000.0, 1005 Markham Ln APT B Austin TX 78753 ,4,4.0,3571.0,2.4,3.571,528411.1976623535,288411.1976623535
332,459000.0, 13553 Anarosa Loop Austin TX 78727 ,4,3.0,2305.0,4.59,2.305,755274.248123169,296274.24812316895
106,725000.0, 360 Nueces St APT 2202 Austin TX 78701 ,2,2.0,1059.0,7.25,1.059,426165.9622192383,298834.0377807617
150,725000.0, 10404 Ember Glen Dr Austin TX 78726 ,2,2.0,1081.0,7.25,1.081,425996.20819091797,299003.79180908203
96,399999.0, 3607 Oak Creek Dr Austin TX 78727 ,3,2.0,1654.0,3.99999,1.654,699483.7284088135,299484.7284088135
108,400000.0, 7009 Millrace Dr Austin TX 78724 ,3,2.0,1304.0,4.0,1.304,702184.1526031494,302184.1526031494
251,399900.0, 2609 Monarch Dr Austin TX 78748 ,3,2.0,1291.0,3.999,1.291,702284.4314575195,302384.43145751953
244,445000.0, 311 W 5th St UNIT 706 Austin TX 78701 ,4,3.0,2773.0,4.45,2.773,751663.3987426758,306663.3987426758
272,450000.0, 806 Northwestern Ave Austin TX 78702 ,4,3.0,1821.0,4.5,1.821,759008.5506439209,309008.5506439209
301,390000.0, 1500 Miami Dr APT C Austin TX 78733 ,3,2.0,1663.0,3.9,1.663,699414.3009185791,309414.3009185791
165,384500.0, 12125 Terraza Cir TH 62 Austin TX 78726 ,3,2.0,2339.0,3.845,2.339,694198.6083984375,309698.6083984375
290,437700.0, 1121 Emmitt Run Austin TX 78721 ,4,3.0,2896.0,4.377,2.896,750714.3974304199,313014.3974304199
336,385000.0, 1105 Dexford Dr Austin TX 78753 ,3,2.0,1654.0,3.85,1.654,699483.7284088135,314483.7284088135
30,435000.0, 228 Saddleback Rd Austin TX 78737 ,4,3.0,2843.0,4.35,2.843,751123.3329772949,316123.3329772949
359,216000.0, 6904 Point North Dr Austin TX 78724 ,4,4.0,2943.0,2.16,2.943,533256.5307617188,317256.53076171875
79,380990.0, The Reagan Plan Pioneer Hill ,3,2.0,1476.0,3.8099,1.476,700857.0671081543,319867.0671081543
321,380000.0, 610 Bernstein St #14 Austin TX 78745 ,3,2.0,1291.0,3.8,1.291,702284.4314575195,322284.43145751953
95,750000.0, 42 Robert T Martinez Jr St Austin TX 78702 ,2,2.0,924.0,7.5,0.924,427207.5653076172,322792.4346923828
328,434900.0, 4501 Muskdeer Dr Austin TX 78749 ,4,3.0,1902.0,4.349,1.902,758383.5601806641,323483.56018066406
56,375000.0, 10006 Baden Ln Austin TX 78754 ,3,2.0,1650.0,3.75,1.65,699514.5797729492,324514.5797729492
130,425000.0, 6405 Middleham Pl Austin TX 78745 ,4,3.0,2896.0,4.25,2.896,750714.3974304199,325714.3974304199
182,373000.0, 1202 Oak Shadows Cir Austin TX 78758 ,3,2.0,1744.0,3.73,1.744,698789.3104553223,325789.31045532227
131,375000.0, 11417 American Mustang Loop Manor TX 78653 ,3,2.0,1291.0,3.75,1.291,702284.4314575195,327284.43145751953
227,375000.0, 7904 Swindon Ln Austin TX 78745 ,3,2.0,1186.0,3.75,1.186,703094.5777893066,328094.57778930664
132,425000.0, 13006 Wingate Way Austin TX 78727 ,4,3.0,2305.0,4.25,2.305,755274.248123169,330274.24812316895
101,369000.0, 1402 Meadgreen Cir Austin TX 78758 ,3,2.0,1663.0,3.69,1.663,699414.3009185791,330414.3009185791
115,370000.0, 4006 Kandy Dr Austin TX 78749 ,3,2.0,1314.0,3.7,1.314,702107.0003509521,332107.00035095215
33,419900.0, 800 Sand Hill Branch Dr #38 Austin TX 78748 ,4,3.0,2634.0,4.199,2.634,752735.8531951904,332835.85319519043
121,369000.0, 7505 Peccary Dr Austin TX 78744 ,3,2.0,1291.0,3.69,1.291,702284.4314575195,333284.43145751953
26,695000.0, 11100 Aragon Dr Austin TX 78759 ,5,3.0,2231.0,6.95,2.231,1033753.776550293,338753.77655029297
392,420000.0, 1212 Guadalupe St APT 402 Austin TX 78701 ,4,3.0,1821.0,4.2,1.821,759008.5506439209,339008.5506439209
343,319900.0, 1500 E Side Dr UNIT 102-B Austin TX 78704 ,2,4.0,2600.0,3.199,2.6,-19914.07871246338,339814.0787124634
89,358990.0, The Jefferson Plan Pioneer Hill ,3,2.0,1512.0,3.5899,1.512,700579.3571472168,341589.3571472168
212,1099000.0, 1411 Haskell St #1 Austin TX 78702 ,4,3.0,2305.0,10.99,2.305,755274.248123169,343725.75187683105
285,350000.0, 2933 Eckert St Austin TX 78722 ,3,2.0,2339.0,3.5,2.339,694198.6083984375,344198.6083984375
274,400000.0, 6107 Calmar Cv Austin TX 78721 ,4,3.0,3243.0,4.0,3.243,748037.1475219727,348037.14752197266
338,460000.0, 9520 Morgan Creek Dr Austin TX 78717 ,5,4.0,3302.0,4.6,3.302,808395.1950073242,348395.1950073242
341,349000.0, 6516 Berkman Dr Austin TX 78723 ,3,2.0,1663.0,3.49,1.663,699414.3009185791,350414.3009185791
93,349900.0, 8105 Boggy Ridge Dr Austin TX 78748 ,3,2.0,1518.0,3.499,1.518,700533.0085754395,350633.00857543945
57,350000.0, 14812 Avery Ranch Blvd APT 28 Austin TX 78717 ,3,2.0,1201.0,3.5,1.201,702978.8494110107,352978.84941101074
4,399990.0, The Roosevelt Plan Pioneer Hill ,4,3.0,2320.0,3.9999,2.32,755158.519744873,355168.51974487305
7,399000.0, 5845 Kleberg Trl Austin TX 78747 ,4,3.0,2432.0,3.99,2.432,754294.3954467773,355294.39544677734
178,449000.0, 40 N Interstate Highway 35 APT 6D4 Austin TX 78701 ,5,4.0,3302.0,4.49,3.302,808395.1950073242,359395.1950073242
303,340000.0, 12800 Venice Ln Austin TX 78750 ,2,4.0,2600.0,3.4,2.6,-19914.07871246338,359914.0787124634
265,175500.0, 935 La Posada Dr #133 Austin TX 78752 ,4,4.0,2599.0,1.755,2.599,535910.6063842773,360410.60638427734
144,339000.0, 4714 Cypress Bnd Austin TX 78744 ,3,2.0,1496.0,3.39,1.496,700702.7626037598,361702.76260375977
240,329990.0, 15004 Drusillas Dr Pflugerville TX 78660 ,3,2.0,2640.0,3.2999,2.64,691876.2683868408,361886.2683868408
188,339000.0, 11715 Budley S Degroot Ln Austin TX 78748 ,3,2.0,1304.0,3.39,1.304,702184.1526031494,363184.1526031494
312,395000.0, 9602 Point Vista Pl Austin TX 78753 ,4,3.0,1821.0,3.95,1.821,759008.5506439209,364008.5506439209
148,335000.0, 12105 Verchota Dr Austin TX 78748 ,3,2.0,1304.0,3.35,1.304,702184.1526031494,367184.1526031494
281,335000.0, 7907 Marble Ridge Dr Austin TX 78747 ,3,2.0,1291.0,3.35,1.291,702284.4314575195,367284.43145751953
346,795000.0, 3604 Robbins Rd Austin TX 78730 ,2,2.0,1059.0,7.95,1.059,426165.9622192383,368834.0377807617
327,799000.0, 2408 Glen Springs Way Austin TX 78741 ,2,2.0,834.0,7.99,0.834,427901.9355773926,371098.0644226074
68,385000.0, 1108 Jolena Cir Austin TX 78721 ,4,3.0,1908.0,3.85,1.908,758337.3069763184,373337.30697631836
293,325000.0, 4502 Turnstone Dr Austin TX 78744 ,3,2.0,1518.0,3.25,1.518,700533.0085754395,375533.00857543945
3,315000.0, 11732 Gaelic Dr Austin TX 78754 ,3,2.0,1704.0,3.15,1.704,699097.9671478271,384097.96714782715
363,318990.0, The Harper (S101) Plan Easton Park ,3,2.0,1065.0,3.1899,1.065,704028.1295776367,385038.1295776367
203,315000.0, 5800 Alomar Cv Del Valle TX 78617 ,3,2.0,1065.0,3.15,1.065,704028.1295776367,389028.1295776367
218,419000.0, 100 W Mockingbird Ln #202 Austin TX 78745 ,5,4.0,3302.0,4.19,3.302,808395.1950073242,389395.1950073242
16,310000.0, 2020 Wayward Sun Dr Austin TX 78754 ,3,2.0,1650.0,3.1,1.65,699514.5797729492,389514.5797729492
37,1150000.0, 3205 Locke Ln Austin TX 78704 ,4,3.0,2021.0,11.5,2.021,757465.4579162598,392534.54208374023
230,819000.0, 137 Finnel Cove Austin TX 78737 ,2,2.0,1081.0,8.19,1.081,425996.20819091797,393003.79180908203
248,360000.0, 7302 Bennett Ave #A Austin TX 78752 ,4,3.0,1902.0,3.6,1.902,758383.5601806641,398383.56018066406
318,359900.0, 11405 Ruffed Grouse Dr Austin TX 78758 ,4,3.0,1911.0,3.599,1.911,758314.1326904297,398414.1326904297
340,825000.0, 7202 Desert Rose Cv Austin TX 78750 ,2,2.0,1101.0,8.25,1.101,425841.90368652344,399158.09631347656
219,890000.0, 11025 Pairnoy Ln Austin TX 78739 ,1,0.4,1967.0820512820512,8.9,1.9670820512820513,488603.5919189453,401396.4080810547
104,299000.0, 11700 Saddle Rock Dr Austin TX 78725 ,3,2.0,1496.0,2.99,1.496,700702.7626037598,401702.76260375977
224,298990.0, Kingston Plan Forest Bluff ,3,2.0,1496.0,2.9899,1.496,700702.7626037598,401712.76260375977
73,349900.0, 1608 Denesa Dr Austin TX 78725 ,4,3.0,2634.0,3.499,2.634,752735.8531951904,402835.85319519043
262,295000.0, 8813 Winter Haven Rd Austin TX 78747 ,3,2.0,1744.0,2.95,1.744,698789.3104553223,403789.31045532227
19,298900.0, 4611 Best Way Austin TX 78725 ,3,2.0,1112.0,2.989,1.112,703665.5426025391,404765.54260253906
268,295000.0, 4702 Creek Bend Dr Austin TX 78744 ,3,2.0,1304.0,2.95,1.304,702184.1526031494,407184.1526031494
288,350000.0, 123 Thelonious Dr Austin TX 78745 ,4,3.0,1902.0,3.5,1.902,758383.5601806641,408383.56018066406
152,350000.0, 4701 Alta Loma Dr Austin TX 78749 ,4,3.0,1821.0,3.5,1.821,759008.5506439209,409008.5506439209
323,295000.0, 2023 Covered Wagon Pass Austin TX 78744 ,3,2.0,1065.0,2.95,1.065,704028.1295776367,409028.1295776367
394,339000.0, 3633 Ruby Red Dr Austin TX 78728 ,4,3.0,3243.0,3.39,3.243,748037.1475219727,409037.14752197266
92,345000.0, 9020 Bird Brook Ln Austin TX 78747 ,4,3.0,2305.0,3.45,2.305,755274.248123169,410274.24812316895
283,289900.0, 8904 Meridian Oak Ln Austin TX 78744 ,3,2.0,1065.0,2.899,1.065,704028.1295776367,414128.1295776367
329,285000.0, 303 W Garrett Run Austin TX 78753 ,3,2.0,1512.0,2.85,1.512,700579.3571472168,415579.3571472168
6,285000.0, 10008 Deer Chase Trl Austin TX 78747 ,3,2.0,1308.0,2.85,1.308,702153.3012390137,417153.3012390137
91,285000.0, 1113 Peggotty Pl Austin TX 78753 ,3,2.0,1291.0,2.85,1.291,702284.4314575195,417284.43145751953
211,284900.0, 2008 Nogales Trl Austin TX 78744 ,3,2.0,1291.0,2.849,1.291,702284.4314575195,417384.43145751953
181,279000.0, 300 Crockett St APT 101 Austin TX 78704 ,3,2.0,1663.0,2.79,1.663,699414.3009185791,420414.3009185791
304,280000.0, 2632 Century Park Blvd UNIT 76 Austin TX 78727 ,3,2.0,1496.0,2.8,1.496,700702.7626037598,420702.76260375977
204,325000.0, 11813 Terraza Cir Austin TX 78726 ,4,3.0,2773.0,3.25,2.773,751663.3987426758,426663.3987426758
8,950000.0, 3216 Wild Canyon Loop Austin TX 78732 ,4,4.0,4361.0,9.5,4.361,522315.97900390625,427684.02099609375
81,270000.0, 2316 Elara Dr Austin TX 78725 ,3,2.0,1291.0,2.7,1.291,702284.4314575195,432284.43145751953
83,270000.0, 12339 Tomanet Trl Austin TX 78758 ,3,2.0,1065.0,2.7,1.065,704028.1295776367,434028.1295776367
25,699000.0, 707 Cardinal Ln APT N-2 Austin TX 78704 ,3,4.0,1826.0,6.99,1.826,263966.15505218506,435033.84494781494
314,312990.0, The Midland Plan Tiermo ,4,3.0,3243.0,3.1299,3.243,748037.1475219727,435047.14752197266
284,315000.0, 7107 Silver Star Ln Austin TX 78744 ,4,3.0,2773.0,3.15,2.773,751663.3987426758,436663.3987426758
172,315000.0, 11126 Seay St Austin TX 78754 ,4,3.0,2305.0,3.15,2.305,755274.248123169,440274.24812316895
364,310000.0, 2200 Dickson Dr APT 218 Austin TX 78704 ,4,3.0,2773.0,3.1,2.773,751663.3987426758,441663.3987426758
308,259900.0, 6208 Walker Ln Austin TX 78741 ,3,2.0,1304.0,2.599,1.304,702184.1526031494,442284.1526031494
77,315000.0, 9308 Beechnut Dr #35 Austin TX 78748 ,4,3.0,2021.0,3.15,2.021,757465.4579162598,442465.45791625977
386,875000.0, 3001 Stokes Dr Austin TX 78702 ,2,2.0,1059.0,8.75,1.059,426165.9622192383,448834.0377807617
330,300000.0, 4361 S Congress Ave UNIT 428 Austin TX 78745 ,4,3.0,2896.0,3.0,2.896,750714.3974304199,450714.3974304199
70,300000.0, 3204 Braun Way Austin TX 78725 ,4,3.0,2843.0,3.0,2.843,751123.3329772949,451123.3329772949
18,250000.0, 15117 Bigelow Dr Austin TX 78724 ,3,2.0,1326.0,2.5,1.326,702014.4462585449,452014.4462585449
2,575000.0, 8003 Isaac Pryor Dr Austin TX 78749 ,5,3.0,3074.0,5.75,3.074,1027249.5269775391,452249.52697753906
194,295000.0, 1202 Faircrest Dr Austin TX 78753 ,4,3.0,3243.0,2.95,3.243,748037.1475219727,453037.14752197266
275,249000.0, 2510 San Gabriel St Austin TX 78705 ,3,2.0,1314.0,2.49,1.314,702107.0003509521,453107.00035095215
107,249000.0, 5215 Coppermead Ln Austin TX 78754 ,3,2.0,1186.0,2.49,1.186,703094.5777893066,454094.57778930664
38,299000.0, 5928 Abby Ann Ln Austin TX 78747 ,4,3.0,2242.0,2.99,2.242,755760.3359222412,456760.3359222412
187,245000.0, 810 Banister Ln #862 Austin TX 78704 ,3,2.0,1186.0,2.45,1.186,703094.5777893066,458094.57778930664
112,299900.0, 1202 Haverford Dr Austin TX 78753 ,4,3.0,1821.0,2.999,1.821,759008.5506439209,459108.5506439209
358,298900.0, 4611 Graceful Ln Austin TX 78725 ,4,3.0,1911.0,2.989,1.911,758314.1326904297,459414.1326904297
352,299000.0, 5328 Balcones Dr APT G Austin TX 78731 ,4,3.0,1821.0,2.99,1.821,759008.5506439209,460008.5506439209
43,235000.0, 4713 Lake George Ln #185 Austin TX 78754 ,3,2.0,1704.0,2.35,1.704,699097.9671478271,464097.96714782715
58,235000.0, 9009 North Plz UNIT 121 Austin TX 78753 ,3,2.0,1326.0,2.35,1.326,702014.4462585449,467014.4462585449
143,450000.0, 4917 Sunset Trl #A Austin TX 78745 ,2,4.0,2600.0,4.5,2.6,-19914.07871246338,469914.0787124634
192,288990.0, The Irvine Plan Forest Bluff ,4,3.0,1821.0,2.8899,1.821,759008.5506439209,470018.5506439209
78,284900.0, 9009 Sun Shower Bnd Austin TX 78724 ,4,3.0,2242.0,2.849,2.242,755760.3359222412,470860.3359222412
333,1175000.0, 715 Harris Ave Austin TX 78705 ,3,2.0,1518.0,11.75,1.518,700533.0085754395,474466.99142456055
42,550000.0, 3808 Woodchester Ln Austin TX 78727 ,5,3.0,3074.0,5.5,3.074,1027249.5269775391,477249.52697753906
234,270000.0, 4530 Best Way Austin TX 78725 ,4,3.0,3243.0,2.7,3.243,748037.1475219727,478037.14752197266
353,495000.0, 925 E 49th St Austin TX 78751 ,4,2.0,2025.0,4.95,2.025,974529.8385620117,479529.8385620117
39,219900.0, 14400 Vandever St Austin TX 78725 ,3,2.0,1476.0,2.199,1.476,700857.0671081543,480957.0671081543
398,275000.0, 3101 Davis Ln APT 8602 Austin TX 78748 ,4,3.0,1911.0,2.75,1.911,758314.1326904297,483314.1326904297
372,270000.0, 1421 Dominique Dr Austin TX 78753 ,4,3.0,2305.0,2.7,2.305,755274.248123169,485274.24812316895
142,210000.0, 1015 E Yager Ln UNIT 175 Austin TX 78753 ,3,2.0,1744.0,2.1,1.744,698789.3104553223,488789.31045532227
222,205000.0, 2401 Manor Rd APT 122 Austin TX 78722 ,3,2.0,1744.0,2.05,1.744,698789.3104553223,493789.31045532227
381,1200000.0, 1004 Lund St Austin TX 78704 ,3,2.0,1663.0,12.0,1.663,699414.3009185791,500585.6990814209
169,199900.0, 2401 Manor Rd APT 208 Austin TX 78722 ,3,2.0,1512.0,1.999,1.512,700579.3571472168,500679.3571472168
17,189000.0, 11613 Maybach Dr Del Valle TX 78617 ,3,2.0,1201.0,1.89,1.201,702978.8494110107,513978.84941101074
309,995000.0, 4405 Shoalwood Ave Austin TX 78756 ,3,3.0,1945.0,9.95,1.945,480143.30863952637,514856.69136047363
249,185000.0, 8818 Merion Cir Austin TX 78754 ,3,2.0,1512.0,1.85,1.512,700579.3571472168,515579.3571472168
344,185000.0, 6111 Softwood Dr Austin TX 78744 ,3,2.0,1496.0,1.85,1.496,700702.7626037598,515702.76260375977
210,225000.0, 12513 Mexicana Cv Del Valle TX 78617 ,4,3.0,2896.0,2.25,2.896,750714.3974304199,525714.3974304199
36,450000.0, 2600 Highland Haven Dr Austin TX 78725 ,4,2.0,1779.0,4.5,1.779,976427.8411865234,526427.8411865234
214,899000.0, 1001 N Cuernavaca Dr Austin TX 78733 ,1,1.0,484.0,8.99,0.484,369789.12353515625,529210.8764648438
128,220000.0, 6700 Cooper Ln APT 41 Austin TX 78745 ,4,3.0,1902.0,2.2,1.902,758383.5601806641,538383.5601806641
382,1250000.0, 2104 Winsted Ln Austin TX 78703 ,3,2.0,1744.0,12.5,1.744,698789.3104553223,551210.6895446777
258,253000.0, 5332 Balcones Dr APT D Austin TX 78731 ,5,4.0,3302.0,2.53,3.302,808395.1950073242,555395.1950073242
223,540000.0, 5416 Agatha Cir Austin TX 78724 ,2,4.0,2600.0,5.4,2.6,-19914.07871246338,559914.0787124634
216,139000.0, 1308 Applegate Dr E Austin TX 78753 ,3,2.0,1654.0,1.39,1.654,699483.7284088135,560483.7284088135
141,1280000.0, 2109 Real Catorce Dr Austin TX 78746 ,3,2.0,1663.0,12.8,1.663,699414.3009185791,580585.6990814209
368,175000.0, 1411 Gracy Farms Ln APT 134 Austin TX 78758 ,4,3.0,1902.0,1.75,1.902,758383.5601806641,583383.5601806641
273,390000.0, 2001 Faro Dr APT 42 Austin TX 78741 ,4,2.0,2025.0,3.9,2.025,974529.8385620117,584529.8385620117
342,110000.0, 5803 J F K Dr Austin TX 78724 ,3,2.0,1744.0,1.1,1.744,698789.3104553223,588789.3104553223
113,384990.0, The Independence Plan Parker Station ,4,2.0,2025.0,3.8499,2.025,974529.8385620117,589539.8385620117
261,100000.0, 6133 Old Fredericksbrg Rd Austin TX 78749 ,3,2.0,1663.0,1.0,1.663,699414.3009185791,599414.3009185791
228,1325000.0, 2202 Montclaire St Austin TX 78704 ,3,2.0,1304.0,13.25,1.304,702184.1526031494,622815.8473968506
13,399900.0, 11312 Dawes Pl Austin TX 78754 ,5,3.0,2874.0,3.999,2.874,1028792.667388916,628892.667388916
183,626704.0, 7915 Ryans Way Austin TX 78726 ,2,4.0,2600.0,6.26704,2.6,-19914.07871246338,646618.0787124634
263,645000.0, 3811 Half Penny Rd Austin TX 78722 ,2,4.0,2600.0,6.45,2.6,-19914.07871246338,664914.0787124634
90,1425000.0, 2502 Ellise Ave Austin TX 78757 ,4,3.0,2896.0,14.25,2.896,750714.3974304199,674285.6025695801
76,299900.0, 11229 Liberty Farms Dr Austin TX 78754 ,4,2.0,1779.0,2.999,1.779,976427.8411865234,676527.8411865234
313,287990.0, The Denton Plan Tiermo ,4,2.0,2025.0,2.8799,2.025,974529.8385620117,686539.8385620117
235,1400000.0, 52 Waller St APT B Austin TX 78702 ,3,2.0,1314.0,14.0,1.314,702107.0003509521,697892.9996490479
133,1400000.0, 11512 Eagles Glen Dr Austin TX 78732 ,3,2.0,1518.0,14.0,1.518,700533.0085754395,699466.9914245605
193,250000.0, 1514 Parker Ln APT 208 Austin TX 78741 ,4,2.0,2025.0,2.5,2.025,974529.8385620117,724529.8385620117
66,305000.0, 1207 Faircrest Dr Austin TX 78753 ,5,3.0,2231.0,3.05,2.231,1033753.776550293,728753.776550293
383,720000.0, 9513 Prescott Dr Austin TX 78749 ,2,4.0,2600.0,7.2,2.6,-19914.07871246338,739914.0787124634
393,219000.0, 1015 E Yager Ln UNIT 209 Austin TX 78753 ,4,2.0,2025.0,2.19,2.025,974529.8385620117,755529.8385620117
127,1250000.0, 4505 Mountain Path Dr Austin TX 78759 ,2,2.0,834.0,12.5,0.834,427901.9355773926,822098.0644226074
366,1395000.0, 2104 La Casa Dr #B Austin TX 78704 ,3,3.0,2133.0,13.95,2.133,478692.8176879883,916307.1823120117
103,900000.0, 3601 Oak Springs Dr Austin TX 78721 ,2,4.0,2600.0,9.0,2.6,-19914.07871246338,919914.0787124634
387,1650000.0, 1 Liberty St Austin TX 78705 ,3,2.0,1186.0,16.5,1.186,703094.5777893066,946905.4222106934
198,1724990.0, 3728 Josh Ln Austin TX 78730 ,4,3.0,1911.0,17.2499,1.911,758314.1326904297,966675.8673095703
357,1395000.0, 904 James St Austin TX 78704 ,2,2.0,1272.0,13.95,1.272,424522.59063720703,970477.409362793
295,1400000.0, 509 Krebs Ln Austin TX 78704 ,2,2.0,924.0,14.0,0.924,427207.5653076172,972792.4346923828
125,1695000.0, 1801 Carlotta Ln Austin TX 78733 ,3,2.0,2339.0,16.95,2.339,694198.6083984375,1000801.3916015625
384,1795000.0, 4512 Rosedale Ave Austin TX 78756 ,3,2.0,1496.0,17.95,1.496,700702.7626037598,1094297.2373962402
324,1999999.0, 10001 Thaxton Rd Austin TX 78747 ,4,3.0,2773.0,19.99999,2.773,751663.3987426758,1248335.6012573242
255,1695000.0, 4904 Balcones Dr Austin TX 78731 ,2,2.0,924.0,16.95,0.924,427207.5653076172,1267792.4346923828
29,1678000.0, 2500 University Club Dr Austin TX 78732 ,5,6.0,4886.0,16.78,4.886,361983.39462280273,1316016.6053771973
111,1895000.0, 617 Blanco St Austin TX 78703 ,4,4.0,2291.0,18.95,2.291,538286.9720458984,1356713.0279541016
116,1895000.0, 701 Highland Ave Austin TX 78703 ,4,4.0,3056.0,18.95,3.056,532384.6817016602,1362615.3182983398
220,1850000.0, 2415 Hartford Rd #A Austin TX 78703 ,2,2.0,1101.0,18.5,1.101,425841.90368652344,1424158.0963134766
185,1995000.0, 701 Norwalk Ln Austin TX 78703 ,4,4.0,2599.0,19.95,2.599,535910.6063842773,1459089.3936157227
202,1899900.0, 1106 Algarita Ave Austin TX 78704 ,2,2.0,1051.0,18.999,1.051,426227.7126312256,1473672.2873687744
49,1995000.0, 11401 Eagles Glen Dr Austin TX 78732 ,2,2.0,1192.0,19.95,1.192,425139.80865478516,1569860.1913452148
316,2300000.0, 2508 Pecos St Austin TX 78703 ,4,4.0,3056.0,23.0,3.056,532384.6817016602,1767615.3182983398
63,230000.0, 12309 Furrow Cv APT B Austin TX 78753 ,8,1.0,1967.0820512820512,2.3,1.9670820512820513,2303705.9783935547,2073705.9783935547
62,2790000.0, 1306 Darter Ln Austin TX 78746 ,5,5.0,3698.0,27.9,3.698,588244.5335388184,2201755.4664611816
153,3195000.0, 3303 Hickory Creek Cv Austin TX 78735 ,4,2.0,2025.0,31.95,2.025,974529.8385620117,2220470.1614379883
229,3500000.0, 14116 Flat Top Ranch Rd Austin TX 78732 ,3,3.0,1945.0,35.0,1.945,480143.30863952637,3019856.6913604736
369,3890000.0, 1005 N Weston Ln Austin TX 78733 ,3,2.0,1512.0,38.9,1.512,700579.3571472168,3189420.642852783
170,3980000.0, 12915 Shore Vista Dr Austin TX 78732 ,4,3.0,2896.0,39.8,2.896,750714.3974304199,3229285.60256958
326,3950000.0, 4511 Balcones Dr Austin TX 78731 ,3,3.0,2133.0,39.5,2.133,478692.8176879883,3471307.1823120117
250,5950000.0, 5404 Maryanna Dr Austin TX 78746 ,4,3.0,2896.0,59.5,2.896,750714.3974304199,5199285.60256958
176,5900000.0, 2300 Portofino Ridge Dr Austin TX 78735 ,3,2.0,1654.0,59.0,1.654,699483.7284088135,5200516.2715911865
59,6500000.0, 1855 Westlake Dr Austin TX 78746 ,3,2.0,1112.0,65.0,1.112,703665.5426025391,5796334.457397461
23,10995000.0, 1607 Manana St Austin TX 78730 ,8,1.0,1967.0820512820512,109.95,1.9670820512820513,2303705.9783935547,8691294.021606445
